CO2_1;CO2_2;CO2_medium;Temp_1;Temp_2;Temp_medium;Accuracy_1;Accuracy_2;Min_CO2_1;Min_CO2_2; time
669.000;663.000;666.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;243.000;
667.000;660.000;663.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;244.000;
665.000;657.000;661.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;245.000;
662.000;654.000;658.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;246.000;
660.000;652.000;656.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;247.000;
658.000;650.000;654.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;248.000;
656.000;648.000;652.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;249.000;
654.000;645.000;649.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;250.000;
652.000;643.000;647.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;251.000;
651.000;640.000;645.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;252.000;
648.000;638.000;643.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;253.000;
646.000;635.000;640.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;254.000;
645.000;633.000;639.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;255.000;
642.000;631.000;636.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;256.000;
641.000;628.000;634.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;257.000;
640.000;626.000;633.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;258.000;
638.000;625.000;631.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;259.000;
636.000;622.000;629.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;260.000;
635.000;620.000;627.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;261.000;
633.000;618.000;625.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;262.000;
632.000;616.000;624.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;263.000;
631.000;614.000;622.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;264.000;
629.000;612.000;620.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;265.000;
628.000;610.000;619.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;266.000;
627.000;608.000;617.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;267.000;
625.000;606.000;615.500;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;268.000;
624.000;604.000;614.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;269.000;
622.000;602.000;612.000;21.000;19.000;20.000;0.000;0.000;0.000;3328.000;270.000;
